container,temperature,ventilation,drainholes,source,page
MMAU1000864,3.0,20.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MMAU1195431,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MMAU1385072,3.0,20.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0056024,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0084900,5.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0102500,2.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0127257,-20.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0174243,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0239215,3.0,20.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0350297,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0389241,3.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0542155,-20.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0565401,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1
MNBU0584504,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,2
MNBU0648609,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,2
MNBU3068733,-20.0,CLOSED,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,2
