container,temperature_A,ventilation_A,drainholes_A,source_A,page_A,ventilation_norm_A,drainholes_norm_A,temperature_B,ventilation_B,drainholes_B,source_B,page_B,ventilation_norm_B,drainholes_norm_B,_merge
MNBU0056024,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,1.0,15,CLOSED,right_only
MNBU3129145,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,2.0,15,CLOSED,right_only
MNBU3183974,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,2.0,15,CLOSED,right_only
MNBU3533877,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5.0,15,CLOSED,right_only
MNBU3555053,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5.0,15,CLOSED,right_only
MNBU3685231,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3.0,15,CLOSED,right_only
MNBU3852597,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3.0,15,CLOSED,right_only
MNBU3883303,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,5.0,15,CLOSED,right_only
MNBU3904896,,,,,,,,2.0,15.00,OPEN,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3.0,15,OPEN,right_only
MNBU3938469,,,,,,,,1.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6.0,15,CLOSED,right_only
MNBU4126789,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6.0,15,CLOSED,right_only
MNBU4274528,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3.0,15,CLOSED,right_only
MNBU4386847,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,3.0,15,CLOSED,right_only
MNBU9018160,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4.0,15,CLOSED,right_only
MNBU9106403,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4.0,15,CLOSED,right_only
MNBU9112068,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6.0,15,CLOSED,right_only
SUDU8181970,,,,,,,,4.0,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,4.0,15,CLOSED,right_only
TLLU1193277,,,,,,,,0.5,15.00,CLOSED,MSK_ReeferManifest_FinalChangesToLoadListDeadline_IB7612E612EEGPSDTM.pdf,6.0,15,CLOSED,right_only
