container,temperature_A,ventilation_A,drainholes_A,source_A,page_A,ventilation_norm_A,drainholes_norm_A,temperature_B,ventilation_B,drainholes_B,source_B,page_B,ventilation_norm_B,drainholes_norm_B,_merge
CXRU1540396,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3.0,CLOSED,,right_only
GESU9503660,,,,,,,,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2.0,15,,right_only
GESU9583449,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU6002622,,,,,,,,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU6017582,,,,,,,,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU6065976,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3.0,CLOSED,,right_only
HLBU6125519,,,,,,,,20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU6135646,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU6165050,,,,,,,,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2.0,15,,right_only
HLBU6166354,,,,,,,,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU6177810,,,,,,,,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU6243281,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU6252690,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3.0,CLOSED,,right_only
HLBU6254136,,,,,,,,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU6295855,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU9038357,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3.0,CLOSED,,right_only
HLBU9068428,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU9169167,,,,,,,,-22.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU9171117,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU9177753,,,,,,,,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU9196666,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU9229836,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU9245170,,,,,,,,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU9328649,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,3.0,CLOSED,,right_only
HLBU9371060,,,,,,,,-22.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,2.0,CLOSED,,right_only
HLBU9411007,,,,,,,,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,2.0,15,,right_only
HLBU9446805,,,,,,,,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
HLBU9484765,,,,,,,,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,2.0,15,,right_only
HLBU9495918,,,,,,,,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1.0,CLOSED,,right_only
