container,temperature,ventilation,drainholes,source,page
TLLU1166477,3.0,020,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3539920,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0565401,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0127257,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3088386,5.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0239215,3.0,020,,REEFERS EGPSD 27.03.2026.pdf,1
SUDU6196163,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3434529,3.0,020,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU9110487,-20.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
UAEU1258524,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
SEGU9391097,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU6177810,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9171117,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9946708,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9507937,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
GESU9583449,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9177753,-25.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9446805,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
SEGU9451107,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
UACU4777090,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MMAU1306319,-23.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3082942,0.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
TCLU1326010,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9856651,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU6243281,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLBU9495918,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLXU8784174,-18.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
HLXU8789303,6.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
TEMU9258820,-4.0,CLOSED,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3588545,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
SUDU8021230,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU4026516,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3194731,2.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0174243,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU9162536,3.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0350297,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3724810,3.5,015,,REEFERS EGPSD 27.03.2026.pdf,1
SUDU8054810,4.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU0389241,3.0,015,,REEFERS EGPSD 27.03.2026.pdf,1
MNBU3704497,3.5,015,,REEFERS EGPSD 27.03.2026.pdf,1
